metric,ave,min,max,sd
domainTemp_0.100000,30.4179321306,25.0002212524,316.501983643,16.5679008137
domainTemp_0.400000,45.7770392031,25.0288410187,615.034118652,35.9629479209
sliceNT,48.9199393585,25.0774290085,407.591417904,35.8081747826
clipHFLX,-219.296785769,-2868.89648438,362.37074739,495.372311387
lineS_XY,-0.549958619899,-4.2307987506,1.32583739972,1.40120193756
volHFLX,46.0705447153,-1291.10079963,1557.19076239,356.247114662
probeUMag,0.00352532015594,0.00352532015594,0.00352532015594,0.0
