metric,ave,min,max,sd,time
streamlinesU,1.73618397853,0.746567678825,3.54476376731,0.633410661135,10.000000
ClipUx,0.992267233133,0.904910504818,1.02992999554,0.0319378362206,10.000000
probeUMagInlet2,3.0086772142,3.0086772142,3.0086772142,0.0,10.000000
sliceUy,1.19485028159,-0.0207589007914,3.59215664864,1.03264910435,10.000000
lineP,-0.0636615867704,-1.81362962723,0.669916510582,0.485934040879,10.000000
lineUX,0.194110658763,-0.0237964838743,1.19363594055,0.408677380373,10.000000
volP,0.184043353551,0.167160287499,0.207056492567,0.00964242385178,10.000000
ClipUMag,0.992230510363,0.903779656351,1.02855901939,0.0319717943226,8.000000
ClipUMag,0.992245813257,0.90330219849,1.03032192454,0.0322663005854,9.000000
ClipUMag,0.992305293513,0.904976784638,1.02993442861,0.0319362034963,10.000000
domainUx,0.502238381525,-0.0763277485967,1.25048196316,0.443963090027,10.000000
